,Solvent_loading_K18
0.0,0.3929961862904608
0.025,0.3717801165358686
0.05,0.3490814875588743
0.075,0.3256766161919092
0.1,0.3023928917903379
0.125,0.2800206120885009
0.15,0.2592178766280291
0.175,0.24044542161983462
0.2,0.22394776588440013
0.225,0.2097754516295514
0.25,0.19783121178503216
0.275,0.18792225044043723
0.3,0.17980656530876585
0.325,0.17322794978246944
0.35,0.1679391414758851
0.375,0.16371505840746992
0.4,0.16035881039720493
0.425,0.1577029841843771
0.45,0.15560815390578123
0.475,0.15395998326421906
0.5,0.15266579701293737
0.525,0.15165114003148933
0.55,0.1508565994710027
0.575,0.15023501221492633
0.6,0.14974908943327467
0.625,0.14936944075006958
0.65,0.14907295691402261
0.675,0.14884150133694277
0.7,0.14866086068369555
0.725,0.14851990870501275
0.75,0.14840994325173065
0.775,0.14832416252360942
0.8,0.1482572523650434
0.825,0.14820506147351853
0.85,0.14816434559304237
0.875,0.1481325651867543
0.9,0.1481077244980292
0.925,0.14808824694490444
0.95,0.14807290139763052
0.975,0.14806081049094594
1.0,0.1480514443293466
